,filename,mean_difference,dkl
178,0.06,,1.8218040116947336
179,0.06,,1.5580461162178676
180,0.06,,1.6491256342499965
181,0.06,,3.200291532504307
182,0.06,,1.9112391368814152
183,0.06,,1.521977137266982
184,0.06,,1.8361161056407973
185,0.06,,1.5818029897788484
186,0.06,,2.1804090796384634
187,0.06,,1.5740862143052476
188,0.06,,1.7056489534336845
189,0.06,,2.2776140841181394
190,0.06,,1.723736168166696
191,0.06,,0.9527350979387899
192,0.06,,1.8349663389772526
193,0.06,,1.8620829284651652
194,0.06,,1.6312246232525731
195,0.06,,1.9398665129602952
196,0.06,,2.282816414551476
197,0.06,,1.499863290566909
198,0.06,,2.0797551333421094
199,0.06,,1.55237970480951
200,0.11,,1.1996022040126062
201,0.11,,1.2797171636879185
202,0.11,,1.2423173330429302
